Firm #,E/A,ROA,D/A,OPM,ATR,Size,QR,CR,Default=1,,
1,0.55,0.43,0.45,0.27,1.59,807.11,1.98,2.12,0,,
2,0.42,0.61,0.58,0.28,2.17,1040.68,1.31,1.87,0,,
3,0.83,0.52,0.17,0.35,1.51,864.26,1.89,2.16,0,,
4,0.51,0.86,0.49,0.32,2.69,1201.17,2.54,2.97,0,,
5,0.57,0.52,0.43,0.24,2.12,1022.42,1.49,2.47,0,,
6,0.73,0.68,0.27,0.36,1.90,1019.37,2.64,3.09,0,,
7,0.64,0.52,0.36,0.24,2.13,946.98,2.09,2.46,0,,
8,0.57,0.82,0.43,0.45,1.81,986.57,2.42,1.83,0,,
9,0.24,0.58,0.76,0.31,1.86,1096.79,1.90,2.01,0,,
10,0.32,0.84,0.68,0.30,2.83,1111.29,2.22,2.69,0,,
11,0.73,0.44,0.27,0.21,2.07,1048.38,3.18,3.98,0,,
12,0.30,0.78,0.70,0.40,1.97,1082.01,1.68,2.60,1,,
13,0.53,0.81,0.47,0.44,1.83,1000.85,2.20,2.50,0,,
14,0.61,0.79,0.39,0.33,2.37,1034.00,2.21,3.23,0,,
15,0.53,0.78,0.47,0.39,2.00,1146.01,2.27,2.46,0,,
16,0.62,0.79,0.38,0.42,1.88,991.39,1.75,1.68,0,,
17,0.61,0.55,0.39,0.28,1.92,974.09,2.01,2.93,0,,
18,0.45,0.67,0.55,0.42,1.59,929.72,1.16,1.91,0,,
19,0.46,0.61,0.54,0.32,1.93,1043.38,2.03,2.94,0,,
20,0.46,0.87,0.54,0.53,1.62,1071.05,1.84,2.52,1,,`
21,0.53,0.69,0.47,0.34,2.04,1000.71,1.99,2.75,0,,
22,0.72,0.45,0.28,0.22,2.02,949.79,2.12,2.53,0,,
23,0.53,0.65,0.47,0.32,1.99,1029.33,1.96,2.78,1,,
24,0.44,0.63,0.56,0.26,2.40,1060.49,2.10,2.32,0,,
25,0.55,0.34,0.45,0.16,2.13,1205.36,2.72,2.92,0,,
26,0.50,0.74,0.50,0.35,2.10,1144.25,2.37,2.53,0,,
27,0.53,0.61,0.47,0.34,1.80,1151.17,2.15,2.61,0,,
28,0.63,0.59,0.37,0.36,1.64,1118.78,2.30,3.56,0,,
29,0.57,0.46,0.43,0.22,2.05,952.95,2.41,2.34,0,,
30,0.68,0.46,0.32,0.21,2.26,924.48,1.99,2.52,0,,
31,0.51,0.59,0.49,0.27,2.18,888.79,1.71,2.83,0,,
32,0.71,0.38,0.29,0.18,2.12,849.79,1.67,2.29,1,,
33,0.71,0.76,0.29,0.54,1.40,1003.01,1.86,2.34,0,,
34,0.68,0.55,0.32,0.32,1.71,953.97,1.84,1.89,0,,
35,0.89,0.36,0.11,0.18,2.01,902.60,2.28,3.10,0,,
36,0.46,0.80,0.54,0.37,2.17,1095.75,1.98,2.67,0,,
37,0.57,0.65,0.43,0.43,1.52,920.78,1.29,2.28,0,,
38,0.68,0.51,0.32,0.35,1.47,925.18,1.63,2.23,0,,
39,0.46,0.94,0.54,0.42,2.26,1253.26,1.97,3.00,0,,
40,0.77,0.56,0.23,0.31,1.81,921.86,2.03,2.40,0,,
41,0.61,0.32,0.39,0.15,2.13,867.25,1.96,1.66,0,,
42,0.62,0.48,0.38,0.22,2.17,954.79,1.79,2.34,0,,
43,0.57,0.77,0.43,0.41,1.87,1071.95,1.80,2.81,0,,
44,0.57,0.60,0.43,0.29,2.10,980.02,1.78,3.12,0,,
45,0.69,0.62,0.31,0.31,2.03,951.37,2.33,3.01,0,,
46,0.60,0.53,0.40,0.35,1.50,945.86,1.78,1.90,0,,
47,0.62,0.42,0.38,0.20,2.12,1057.70,2.32,2.85,0,,
48,0.54,0.67,0.46,0.33,2.01,1099.08,2.31,2.06,0,,
49,0.49,0.63,0.51,0.28,2.24,978.82,1.43,2.65,0,,
50,0.49,0.42,0.51,0.18,2.34,943.24,2.34,2.58,0,,
51,0.69,0.50,0.31,0.32,1.56,802.71,0.96,1.46,0,,
52,0.59,0.47,0.41,0.22,2.14,1071.36,2.51,2.55,0,,
53,0.72,0.39,0.28,0.23,1.71,899.65,2.26,3.15,0,,
54,0.71,0.29,0.29,0.15,1.99,882.47,1.64,1.68,0,,
55,0.60,0.51,0.40,0.24,2.10,997.51,2.19,2.28,0,,
56,0.45,0.86,0.55,0.37,2.31,994.55,1.85,1.66,0,,
57,0.68,0.82,0.32,0.44,1.87,957.40,1.72,2.04,0,,
58,0.56,0.44,0.44,0.20,2.24,1000.03,2.14,1.85,0,,
59,0.62,0.52,0.38,0.33,1.57,938.10,2.39,2.37,0,,
60,0.49,0.77,0.51,0.37,2.05,896.26,1.81,1.73,0,,
61,0.71,0.80,0.29,0.38,2.10,958.46,2.51,2.74,0,,
62,0.60,0.55,0.40,0.42,1.29,1007.90,1.59,2.37,0,,
63,0.54,0.47,0.46,0.20,2.30,1085.99,1.81,2.56,0,,
64,0.49,0.47,0.51,0.33,1.43,987.90,1.17,2.22,0,,
65,0.45,0.85,0.55,0.45,1.88,1105.74,2.12,2.18,0,,
66,0.59,0.73,0.41,0.36,2.04,992.49,1.65,2.36,0,,
67,0.75,0.52,0.25,0.41,1.27,957.92,1.70,2.47,0,,
68,0.67,0.81,0.33,0.40,2.00,1074.64,1.94,3.17,0,,
69,0.71,0.86,0.29,0.51,1.69,965.52,1.79,2.31,0,,
70,0.36,0.25,0.64,0.09,2.75,1120.19,2.18,3.37,0,,
71,0.66,0.54,0.34,0.26,2.12,841.33,1.76,1.91,0,,
72,0.53,0.56,0.47,0.28,1.98,1003.26,1.31,1.42,0,,
73,0.62,0.35,0.38,0.16,2.25,935.51,1.97,2.69,0,,
74,0.51,0.57,0.49,0.27,2.13,1152.96,1.98,1.62,0,,
75,0.68,0.54,0.32,0.42,1.27,940.02,1.95,0.88,0,,
76,0.74,0.55,0.26,0.28,1.98,1219.64,3.05,3.03,0,,
77,0.74,0.68,0.26,0.37,1.86,961.05,1.99,2.69,0,,
78,0.55,0.92,0.45,0.47,1.95,1025.46,2.29,2.21,0,,
79,0.62,0.55,0.38,0.27,2.05,1177.40,2.69,2.68,0,,
80,0.62,0.51,0.38,0.26,2.00,974.12,1.80,2.71,0,,
81,0.46,0.31,0.54,0.20,1.56,921.36,1.36,1.66,0,,
82,0.57,0.69,0.43,0.28,2.46,1055.70,2.09,2.84,0,,
83,0.58,0.43,0.42,0.23,1.86,877.84,2.15,2.02,0,,
84,0.44,0.61,0.56,0.31,1.96,917.49,1.42,1.82,0,,
85,0.68,0.57,0.32,0.26,2.19,929.76,2.67,3.42,0,,
86,0.53,0.48,0.47,0.24,1.99,994.76,2.11,3.18,0,,
87,0.52,0.40,0.48,0.20,1.94,1063.16,2.73,2.49,0,,
88,0.62,0.57,0.38,0.26,2.20,1094.39,2.91,3.15,0,,
89,0.58,0.60,0.42,0.31,1.95,1041.91,1.58,3.04,0,,
90,0.72,0.33,0.28,0.19,1.73,992.68,2.29,1.90,0,,
91,0.71,0.72,0.29,0.31,2.30,1224.69,2.23,2.18,0,,
92,0.59,0.56,0.41,0.29,1.94,1044.84,1.70,3.03,0,,
93,0.53,0.54,0.47,0.29,1.88,1078.94,1.81,2.43,0,,
94,0.34,0.76,0.66,0.44,1.73,1072.51,1.80,1.30,0,,
95,0.67,0.81,0.33,0.51,1.58,1138.44,2.09,2.89,0,,
96,0.58,0.90,0.42,0.39,2.32,983.94,2.45,2.92,0,,
97,0.61,0.75,0.39,0.36,2.08,1007.24,2.33,3.39,0,,
98,0.79,0.41,0.21,0.26,1.58,825.03,2.06,2.30,0,,
99,0.64,0.58,0.36,0.30,1.90,935.47,1.47,2.34,0,,
100,0.78,0.65,0.22,0.32,2.02,1133.67,2.09,2.57,0,,
